Mnemonic            Summary
TDPBUUD    Dot Product of Signed/Unsigned Bytes with DwordAccumulation
TEST    Logical Compare
TESTUI    Determine User Interrupt Flag
TILELOADD    Load Tile
TILELOADDT1    Load Tile
TILERELEASE    Release Tile
TILESTORED    Store Tile
TILEZERO    Zero Tile
TPAUSE    Timed PAUSE
TZCNT    Count the Number of Trailing Zero Bits
UCOMISD    Unordered Compare Scalar Double Precision Floating-Point Values and Set EFLAGS
UCOMISS    Unordered Compare Scalar Single Precision Floating-Point Values and Set EFLAGS
UD    Undefined Instruction
UIRET    User-Interrupt Return
UMONITOR    User Level Set Up Monitor Address
UMWAIT    User Level Monitor Wait
UNPCKHPD    Unpack and Interleave High Packed Double Precision Floating-Point Values
UNPCKHPS    Unpack and Interleave High Packed Single Precision Floating-Point Values
UNPCKLPD    Unpack and Interleave Low Packed Double Precision Floating-Point Values
UNPCKLPS    Unpack and Interleave Low Packed Single Precision Floating-Point Values
VADDPH    Add Packed FP16 Values
VADDSH    Add Scalar FP16 Values
VALIGND    Align Doubleword/Quadword Vectors
VALIGNQ    Align Doubleword/Quadword Vectors
VBLENDMPD    Blend Float64/Float32 Vectors Using an OpMask Control
VBLENDMPS    Blend Float64/Float32 Vectors Using an OpMask Control
VBROADCAST    Load with Broadcast Floating-Point Data
VCMPPH    Compare Packed FP16 Values
VCMPSH    Compare Scalar FP16 Values
VCOMISH    Compare Scalar Ordered FP16 Values and Set EFLAGS
VCOMPRESSPD    Store Sparse Packed Double Precision Floating-Point Values Into DenseMemory
VCOMPRESSPS    Store Sparse Packed Single Precision Floating-Point Values Into Dense Memory
VCOMPRESSW    Store Sparse Packed Byte/Word Integer Values Into DenseMemory/Register
VCVTDQ2PH    Convert Packed Signed Doubleword Integers to Packed FP16 Values
VCVTNE2PS2BF16    Convert Two Packed Single Data to One Packed BF16 Data
VCVTNEPS2BF16    Convert Packed Single Data to Packed BF16 Data
VCVTPD2PH    Convert Packed Double Precision FP Values to Packed FP16 Values
VCVTPD2QQ    Convert Packed Double Precision Floating-Point Values to Packed QuadwordIntegers
VCVTPD2UDQ    Convert Packed Double Precision Floating-Point Values to Packed UnsignedDoubleword Integers
VCVTPD2UQQ    Convert Packed Double Precision Floating-Point Values to Packed UnsignedQuadword Integers
VCVTPH2DQ    Convert Packed FP16 Values to Signed Doubleword Integers
VCVTPH2PD    Convert Packed FP16 Values to FP64 Values
VCVTPH2PS    Convert Packed FP16 Values to Single Precision Floating-PointValues
VCVTPH2PSX    Convert Packed FP16 Values to Single Precision Floating-PointValues
VCVTPH2QQ    Convert Packed FP16 Values to Signed Quadword Integer Values
VCVTPH2UDQ    Convert Packed FP16 Values to Unsigned Doubleword Integers
VCVTPH2UQQ    Convert Packed FP16 Values to Unsigned Quadword Integers
VCVTPH2UW    Convert Packed FP16 Values to Unsigned Word Integers
VCVTPH2W    Convert Packed FP16 Values to Signed Word Integers
VCVTPS2PH    Convert Single-Precision FP Value to 16-bit FP Value
VCVTPS2PHX    Convert Packed Single Precision Floating-Point Values to Packed FP16 Values
VCVTPS2QQ    Convert Packed Single Precision Floating-Point Values to Packed SignedQuadword Integer Values
VCVTPS2UDQ    Convert Packed Single Precision Floating-Point Values to Packed UnsignedDoubleword Integer Values
VCVTPS2UQQ    Convert Packed Single Precision Floating-Point Values to Packed UnsignedQuadword Integer Values
VCVTQQ2PD    Convert Packed Quadword Integers to Packed Double Precision Floating-PointValues
VCVTQQ2PH    Convert Packed Signed Quadword Integers to Packed FP16 Values
VCVTQQ2PS    Convert Packed Quadword Integers to Packed Single Precision Floating-PointValues
VCVTSD2SH    Convert Low FP64 Value to an FP16 Value
VCVTSD2USI    Convert Scalar Double Precision Floating-Point Value to Unsigned DoublewordInteger
VCVTSH2SD    Convert Low FP16 Value to an FP64 Value
VCVTSH2SI    Convert Low FP16 Value to Signed Integer
VCVTSH2SS    Convert Low FP16 Value to FP32 Value
VCVTSH2USI    Convert Low FP16 Value to Unsigned Integer
VCVTSI2SH    Convert a Signed Doubleword/Quadword Integer to an FP16 Value
VCVTSS2SH    Convert Low FP32 Value to an FP16 Value
VCVTSS2USI    Convert Scalar Single Precision Floating-Point Value to Unsigned DoublewordInteger
VCVTTPD2QQ    Convert With Truncation Packed Double Precision Floating-Point Values toPacked Quadword Integers
VCVTTPD2UDQ    Convert With Truncation Packed Double Precision Floating-Point Values toPacked Unsigned Doubleword Integers
VCVTTPD2UQQ    Convert With Truncation Packed Double Precision Floating-Point Values toPacked Unsigned Quadword Integers
VCVTTPH2DQ    Convert with Truncation Packed FP16 Values to Signed Doubleword Integers
VCVTTPH2QQ    Convert with Truncation Packed FP16 Values to Signed Quadword Integers
VCVTTPH2UDQ    Convert with Truncation Packed FP16 Values to Unsigned DoublewordIntegers
VCVTTPH2UQQ    Convert with Truncation Packed FP16 Values to Unsigned Quadword Integers
VCVTTPH2UW    Convert Packed FP16 Values to Unsigned Word Integers
VCVTTPH2W    Convert Packed FP16 Values to Signed Word Integers
VCVTTPS2QQ    Convert With Truncation Packed Single Precision Floating-Point Values toPacked Signed Quadword Integer Values
VCVTTPS2UDQ    Convert With Truncation Packed Single Precision Floating-Point Values toPacked Unsigned Doubleword Integer Values
VCVTTPS2UQQ    Convert With Truncation Packed Single Precision Floating-Point Values toPacked Unsigned Quadword Integer Values
VCVTTSD2USI    Convert With Truncation Scalar Double Precision Floating-Point Value toUnsigned Integer
VCVTTSH2SI    Convert with Truncation Low FP16 Value to a Signed Integer
VCVTTSH2USI    Convert with Truncation Low FP16 Value to an Unsigned Integer
VCVTTSS2USI    Convert With Truncation Scalar Single Precision Floating-Point Value toUnsigned Integer
VCVTUDQ2PD    Convert Packed Unsigned Doubleword Integers to Packed Double PrecisionFloating-Point Values
VCVTUDQ2PH    Convert Packed Unsigned Doubleword Integers to Packed FP16 Values
VCVTUDQ2PS    Convert Packed Unsigned Doubleword Integers to Packed Single PrecisionFloating-Point Values
VCVTUQQ2PD    Convert Packed Unsigned Quadword Integers to Packed Double PrecisionFloating-Point Values
VCVTUQQ2PH    Convert Packed Unsigned Quadword Integers to Packed FP16 Values
VCVTUQQ2PS    Convert Packed Unsigned Quadword Integers to Packed Single PrecisionFloating-Point Values
VCVTUSI2SD    Convert Unsigned Integer to Scalar Double Precision Floating-Point Value
VCVTUSI2SH    Convert Unsigned Doubleword Integer to an FP16 Value
VCVTUSI2SS    Convert Unsigned Integer to Scalar Single Precision Floating-Point Value
VCVTUW2PH    Convert Packed Unsigned Word Integers to FP16 Values
VCVTW2PH    Convert Packed Signed Word Integers to FP16 Values
VDBPSADBW    Double Block Packed Sum-Absolute-Differences (SAD) on Unsigned Bytes
VDIVPH    Divide Packed FP16 Values
VDIVSH    Divide Scalar FP16 Values
VDPBF16PS    Dot Product of BF16 Pairs Accumulated Into Packed Single Precision
VERR    Verify a Segment for Reading or Writing
VERW    Verify a Segment for Reading or Writing
VEXPANDPD    Load Sparse Packed Double Precision Floating-Point Values From Dense Memory
VEXPANDPS    Load Sparse Packed Single Precision Floating-Point Values From Dense Memory
VEXTRACTF128    Extract Packed Floating-Point Values
VEXTRACTF32x4    Extract Packed Floating-Point Values
VEXTRACTF32x8    Extract Packed Floating-Point Values
VEXTRACTF64x2    Extract Packed Floating-Point Values
VEXTRACTF64x4    Extract Packed Floating-Point Values
VEXTRACTI128    ExtractPacked Integer Values
VEXTRACTI32x4    ExtractPacked Integer Values
VEXTRACTI32x8    ExtractPacked Integer Values
VEXTRACTI64x2    ExtractPacked Integer Values
VEXTRACTI64x4    ExtractPacked Integer Values
VFCMADDCPH    Complex Multiply and Accumulate FP16 Values
VFCMADDCSH    Complex Multiply and Accumulate Scalar FP16 Values
VFCMULCPH    Complex Multiply FP16 Values
VFCMULCSH    Complex Multiply Scalar FP16 Values
VFIXUPIMMPD    Fix Up Special Packed Float64 Values
VFIXUPIMMPS    Fix Up Special Packed Float32 Values
VFIXUPIMMSD    Fix Up Special Scalar Float64 Value
VFIXUPIMMSS    Fix Up Special Scalar Float32 Value
VFMADD132PD    Fused Multiply-Add of Packed DoublePrecision Floating-Point Values
VFMADD132PH    Fused Multiply-Add of Packed FP16 Values
VFMADD132PS    Fused Multiply-Add of Packed SinglePrecision Floating-Point Values
VFMADD132SD    Fused Multiply-Add of Scalar DoublePrecision Floating-Point Values
VFMADD132SH    Fused Multiply-Add of Scalar FP16 Values
VFMADD132SS    Fused Multiply-Add of Scalar Single PrecisionFloating-Point Values
VFMADD213PD    Fused Multiply-Add of Packed DoublePrecision Floating-Point Values
VFMADD213PH    Fused Multiply-Add of Packed FP16 Values
VFMADD213PS    Fused Multiply-Add of Packed SinglePrecision Floating-Point Values
VFMADD213SD    Fused Multiply-Add of Scalar DoublePrecision Floating-Point Values
VFMADD213SH    Fused Multiply-Add of Scalar FP16 Values
VFMADD213SS    Fused Multiply-Add of Scalar Single PrecisionFloating-Point Values
VFMADD231PD    Fused Multiply-Add of Packed DoublePrecision Floating-Point Values
VFMADD231PH    Fused Multiply-Add of Packed FP16 Values
VFMADD231PS    Fused Multiply-Add of Packed SinglePrecision Floating-Point Values
VFMADD231SD    Fused Multiply-Add of Scalar DoublePrecision Floating-Point Values
VFMADD231SH    Fused Multiply-Add of Scalar FP16 Values
VFMADD231SS    Fused Multiply-Add of Scalar Single PrecisionFloating-Point Values
VFMADDCPH    Complex Multiply and Accumulate FP16 Values
VFMADDCSH    Complex Multiply and Accumulate Scalar FP16 Values
VFMADDRND231PD    Fused Multiply-Add of Packed Double-Precision Floating-Point Valueswith rounding control
VFMADDSUB132PD    Fused Multiply-AlternatingAdd/Subtract of Packed Double Precision Floating-Point Values
VFMADDSUB132PH    Fused Multiply-AlternatingAdd/Subtract of Packed FP16 Values
VFMADDSUB132PS    Fused Multiply-AlternatingAdd/Subtract of Packed Single Precision Floating-Point Values
VFMADDSUB213PD    Fused Multiply-AlternatingAdd/Subtract of Packed Double Precision Floating-Point Values
VFMADDSUB213PH    Fused Multiply-AlternatingAdd/Subtract of Packed FP16 Values
VFMADDSUB213PS    Fused Multiply-AlternatingAdd/Subtract of Packed Single Precision Floating-Point Values
VFMADDSUB231PD    Fused Multiply-AlternatingAdd/Subtract of Packed Double Precision Floating-Point Values
VFMADDSUB231PH    Fused Multiply-AlternatingAdd/Subtract of Packed FP16 Values
VFMADDSUB231PS    Fused Multiply-AlternatingAdd/Subtract of Packed Single Precision Floating-Point Values
VFMSUB132PD    Fused Multiply-Subtract of Packed DoublePrecision Floating-Point Values
VFMSUB132PH    Fused Multiply-Subtract of Packed FP16 Values
VFMSUB132PS    Fused Multiply-Subtract of Packed SinglePrecision Floating-Point Values
VFMSUB132SD    Fused Multiply-Subtract of Scalar DoublePrecision Floating-Point Values
VFMSUB132SH    Fused Multiply-Subtract of Scalar FP16 Values
VFMSUB132SS    Fused Multiply-Subtract of Scalar SinglePrecision Floating-Point Values
VFMSUB213PD    Fused Multiply-Subtract of Packed DoublePrecision Floating-Point Values
VFMSUB213PH    Fused Multiply-Subtract of Packed FP16 Values
VFMSUB213PS    Fused Multiply-Subtract of Packed SinglePrecision Floating-Point Values
VFMSUB213SD    Fused Multiply-Subtract of Scalar DoublePrecision Floating-Point Values
VFMSUB213SH    Fused Multiply-Subtract of Scalar FP16 Values
VFMSUB213SS    Fused Multiply-Subtract of Scalar SinglePrecision Floating-Point Values
VFMSUB231PD    Fused Multiply-Subtract of Packed DoublePrecision Floating-Point Values
VFMSUB231PH    Fused Multiply-Subtract of Packed FP16 Values
VFMSUB231PS    Fused Multiply-Subtract of Packed SinglePrecision Floating-Point Values
VFMSUB231SD    Fused Multiply-Subtract of Scalar DoublePrecision Floating-Point Values
VFMSUB231SH    Fused Multiply-Subtract of Scalar FP16 Values
VFMSUB231SS    Fused Multiply-Subtract of Scalar SinglePrecision Floating-Point Values
VFMSUBADD132PD    Fused Multiply-AlternatingSubtract/Add of Packed Double Precision Floating-Point Values
VFMSUBADD132PH    Fused Multiply-AlternatingSubtract/Add of Packed FP16 Values
VFMSUBADD132PS    Fused Multiply-AlternatingSubtract/Add of Packed Single Precision Floating-Point Values
VFMSUBADD213PD    Fused Multiply-AlternatingSubtract/Add of Packed Double Precision Floating-Point Values
VFMSUBADD213PH    Fused Multiply-AlternatingSubtract/Add of Packed FP16 Values
VFMSUBADD213PS    Fused Multiply-AlternatingSubtract/Add of Packed Single Precision Floating-Point Values
VFMSUBADD231PD    Fused Multiply-AlternatingSubtract/Add of Packed Double Precision Floating-Point Values
VFMSUBADD231PH    Fused Multiply-AlternatingSubtract/Add of Packed FP16 Values
VFMSUBADD231PS    Fused Multiply-AlternatingSubtract/Add of Packed Single Precision Floating-Point Values
VFMULCPH    Complex Multiply FP16 Values
VFMULCSH    Complex Multiply Scalar FP16 Values
VFNMADD132PD    Fused Negative Multiply-Add of PackedDouble Precision Floating-Point Values
VFNMADD132PH    Fused Multiply-Add of Packed FP16 Values
VFNMADD132PS    Fused Negative Multiply-Add of PackedSingle Precision Floating-Point Values
VFNMADD132SD    Fused Negative Multiply-Add of ScalarDouble Precision Floating-Point Values
VFNMADD132SH    Fused Multiply-Add of Scalar FP16 Values
VFNMADD132SS    Fused Negative Multiply-Add of ScalarSingle Precision Floating-Point Values
VFNMADD213PD    Fused Negative Multiply-Add of PackedDouble Precision Floating-Point Values
VFNMADD213PH    Fused Multiply-Add of Packed FP16 Values
VFNMADD213PS    Fused Negative Multiply-Add of PackedSingle Precision Floating-Point Values
VFNMADD213SD    Fused Negative Multiply-Add of ScalarDouble Precision Floating-Point Values
VFNMADD213SH    Fused Multiply-Add of Scalar FP16 Values
VFNMADD213SS    Fused Negative Multiply-Add of ScalarSingle Precision Floating-Point Values
VFNMADD231PD    Fused Negative Multiply-Add of PackedDouble Precision Floating-Point Values
VFNMADD231PH    Fused Multiply-Add of Packed FP16 Values
VFNMADD231PS    Fused Negative Multiply-Add of PackedSingle Precision Floating-Point Values
VFNMADD231SD    Fused Negative Multiply-Add of ScalarDouble Precision Floating-Point Values
VFNMADD231SH    Fused Multiply-Add of Scalar FP16 Values
VFNMADD231SS    Fused Negative Multiply-Add of ScalarSingle Precision Floating-Point Values
VFNMSUB132PD    Fused Negative Multiply-Subtract ofPacked Double Precision Floating-Point Values
VFNMSUB132PH    Fused Multiply-Subtract of Packed FP16 Values
VFNMSUB132PS    Fused Negative Multiply-Subtract ofPacked Single Precision Floating-Point Values
VFNMSUB132SD    Fused Negative Multiply-Subtract ofScalar Double Precision Floating-Point Values
VFNMSUB132SH    Fused Multiply-Subtract of Scalar FP16 Values
VFNMSUB132SS    Fused Negative Multiply-Subtract ofScalar Single Precision Floating-Point Values
VFNMSUB213PD    Fused Negative Multiply-Subtract ofPacked Double Precision Floating-Point Values
VFNMSUB213PH    Fused Multiply-Subtract of Packed FP16 Values
VFNMSUB213PS    Fused Negative Multiply-Subtract ofPacked Single Precision Floating-Point Values
VFNMSUB213SD    Fused Negative Multiply-Subtract ofScalar Double Precision Floating-Point Values
VFNMSUB213SH    Fused Multiply-Subtract of Scalar FP16 Values
VFNMSUB213SS    Fused Negative Multiply-Subtract ofScalar Single Precision Floating-Point Values
VFNMSUB231PD    Fused Negative Multiply-Subtract ofPacked Double Precision Floating-Point Values
VFNMSUB231PH    Fused Multiply-Subtract of Packed FP16 Values
VFNMSUB231PS    Fused Negative Multiply-Subtract ofPacked Single Precision Floating-Point Values
VFNMSUB231SD    Fused Negative Multiply-Subtract ofScalar Double Precision Floating-Point Values
VFNMSUB231SH    Fused Multiply-Subtract of Scalar FP16 Values
VFNMSUB231SS    Fused Negative Multiply-Subtract ofScalar Single Precision Floating-Point Values
VFPCLASSPD    Tests Types of Packed Float64 Values
VFPCLASSPH    Test Types of Packed FP16 Values
VFPCLASSPS    Tests Types of Packed Float32 Values
VFPCLASSSD    Tests Type of a Scalar Float64 Value
VFPCLASSSH    Test Types of Scalar FP16 Values
VFPCLASSSS    Tests Type of a Scalar Float32 Value
VGATHERDPD    Gather Packed Double Precision Floating-Point Values UsingSigned Dword/Qword Indices
VGATHERDPD (1)    Gather Packed Single, Packed Double with Signed Dword Indices
VGATHERDPS    Gather Packed Single Precision Floating-Point Values UsingSigned Dword/Qword Indices
VGATHERDPS (1)    Gather Packed Single, Packed Double with Signed Dword Indices
VGATHERQPD    Gather Packed Double Precision Floating-Point Values UsingSigned Dword/Qword Indices
VGATHERQPD (1)    Gather Packed Single, Packed Double with Signed Qword Indices
VGATHERQPS    Gather Packed Single Precision Floating-Point Values UsingSigned Dword/Qword Indices
VGATHERQPS (1)    Gather Packed Single, Packed Double with Signed Qword Indices
VGETEXPPD    Convert Exponents of Packed Double Precision Floating-Point Values to DoublePrecision Floating-Point Values
VGETEXPPH    Convert Exponents of Packed FP16 Values to FP16 Values
VGETEXPPS    Convert Exponents of Packed Single Precision Floating-Point Values to SinglePrecision Floating-Point Values
VGETEXPSD    Convert Exponents of Scalar Double Precision Floating-Point Value to DoublePrecision Floating-Point Value
VGETEXPSH    Convert Exponents of Scalar FP16 Values to FP16 Values
VGETEXPSS    Convert Exponents of Scalar Single Precision Floating-Point Value to SinglePrecision Floating-Point Value
VGETMANTPD    Extract Float64 Vector of Normalized Mantissas From Float64 Vector
VGETMANTPH    Extract FP16 Vector of Normalized Mantissas from FP16 Vector
VGETMANTPS    Extract Float32 Vector of Normalized Mantissas From Float32 Vector
VGETMANTSD    Extract Float64 of Normalized Mantissa From Float64 Scalar
VGETMANTSH    Extract FP16 of Normalized Mantissa from FP16 Scalar
VGETMANTSS    Extract Float32 Vector of Normalized Mantissa From Float32 Scalar
VINSERTF128    Insert PackedFloating-Point Values
VINSERTF32x4    Insert PackedFloating-Point Values
VINSERTF32x8    Insert PackedFloating-Point Values
VINSERTF64x2    Insert PackedFloating-Point Values
VINSERTF64x4    Insert PackedFloating-Point Values
VINSERTI128    Insert PackedInteger Values
VINSERTI32x4    Insert PackedInteger Values
VINSERTI32x8    Insert PackedInteger Values
VINSERTI64x2    Insert PackedInteger Values
VINSERTI64x4    Insert PackedInteger Values
VMASKMOV    Conditional SIMD Packed Loads and Stores
VMAXPH    Return Maximum of Packed FP16 Values
VMAXSH    Return Maximum of Scalar FP16 Values
VMINPH    Return Minimum of Packed FP16 Values
VMINSH    Return Minimum Scalar FP16 Value
VMOVDQA32    Move Aligned Packed Integer Values
VMOVDQA64    Move Aligned Packed Integer Values
VMOVDQU16    Move Unaligned Packed Integer Values
VMOVDQU32    Move Unaligned Packed Integer Values
VMOVDQU64    Move Unaligned Packed Integer Values
VMOVDQU8    Move Unaligned Packed Integer Values
VMOVSH    Move Scalar FP16 Value
VMOVW    Move Word
VMULPH    Multiply Packed FP16 Values
VMULSH    Multiply Scalar FP16 Values
VP2INTERSECTD    Compute Intersection Between DWORDS/QUADWORDS to aPair of Mask Registers
VP2INTERSECTQ    Compute Intersection Between DWORDS/QUADWORDS to aPair of Mask Registers
VPBLENDD    Blend Packed Dwords
VPBLENDMB    Blend Byte/Word Vectors Using an Opmask Control
VPBLENDMD    Blend Int32/Int64 Vectors Using an OpMask Control
VPBLENDMQ    Blend Int32/Int64 Vectors Using an OpMask Control
VPBLENDMW    Blend Byte/Word Vectors Using an Opmask Control
VPBROADCAST    Load Integer and Broadcast
VPBROADCASTB    Load With Broadcast Integer Data From General Purpose Register
VPBROADCASTD    Load With Broadcast Integer Data From General Purpose Register
VPBROADCASTM    Broadcast Mask to Vector Register
VPBROADCASTQ    Load With Broadcast Integer Data From General Purpose Register
VPBROADCASTW    Load With Broadcast Integer Data From General Purpose Register
VPCMPB    Compare Packed Byte Values Into Mask
VPCMPD    Compare Packed Integer Values Into Mask
VPCMPQ    Compare Packed Integer Values Into Mask
VPCMPUB    Compare Packed Byte Values Into Mask
VPCMPUD    Compare Packed Integer Values Into Mask
VPCMPUQ    Compare Packed Integer Values Into Mask
VPCMPUW    Compare Packed Word Values Into Mask
VPCMPW    Compare Packed Word Values Into Mask
VPCOMPRESSB    Store Sparse Packed Byte/Word Integer Values Into DenseMemory/Register
VPCOMPRESSD    Store Sparse Packed Doubleword Integer Values Into Dense Memory/Register
VPCOMPRESSQ    Store Sparse Packed Quadword Integer Values Into Dense Memory/Register
VPCONFLICTD    Detect Conflicts Within a Vector of Packed Dword/Qword Values Into DenseMemory/ Register
VPCONFLICTQ    Detect Conflicts Within a Vector of Packed Dword/Qword Values Into DenseMemory/ Register
VPDPBUSD    Multiply and Add Unsigned and Signed Bytes
VPDPBUSDS    Multiply and Add Unsigned and Signed Bytes With Saturation
VPDPWSSD    Multiply and Add Signed Word Integers
VPDPWSSDS    Multiply and Add Signed Word Integers With Saturation
VPERM2F128    Permute Floating-Point Values
VPERM2I128    Permute Integer Values
VPERMB    Permute Packed Bytes Elements
VPERMD    Permute Packed Doubleword/Word Elements
VPERMI2B    Full Permute of Bytes From Two Tables Overwriting the Index
VPERMI2D    Full Permute From Two Tables Overwriting the Index
VPERMI2PD    Full Permute From Two Tables Overwriting the Index
VPERMI2PS    Full Permute From Two Tables Overwriting the Index
VPERMI2Q    Full Permute From Two Tables Overwriting the Index
VPERMI2W    Full Permute From Two Tables Overwriting the Index
VPERMILPD    Permute In-Lane of Pairs of Double Precision Floating-Point Values
VPERMILPS    Permute In-Lane of Quadruples of Single Precision Floating-Point Values
VPERMPD    Permute Double Precision Floating-Point Elements
VPERMPS    Permute Single Precision Floating-Point Elements
VPERMQ    Qwords Element Permutation
VPERMT2B    Full Permute of Bytes From Two Tables Overwriting a Table
VPERMT2D    Full Permute From Two Tables Overwriting One Table
VPERMT2PD    Full Permute From Two Tables Overwriting One Table
VPERMT2PS    Full Permute From Two Tables Overwriting One Table
VPERMT2Q    Full Permute From Two Tables Overwriting One Table
VPERMT2W    Full Permute From Two Tables Overwriting One Table
VPERMW    Permute Packed Doubleword/Word Elements
VPEXPANDB    Expand Byte/Word Values
VPEXPANDD    Load Sparse Packed Doubleword Integer Values From Dense Memory/Register
VPEXPANDQ    Load Sparse Packed Quadword Integer Values From Dense Memory/Register
VPEXPANDW    Expand Byte/Word Values
VPGATHERDD    Gather Packed Dword Values Using Signed Dword/Qword Indices
VPGATHERDD (1)    Gather Packed Dword, Packed Qword With Signed Dword Indices
VPGATHERDQ    Gather Packed Dword, Packed Qword With Signed Dword Indices
VPGATHERDQ (1)    Gather Packed Qword Values Using Signed Dword/Qword Indices
VPGATHERQD    Gather Packed Dword Values Using Signed Dword/Qword Indices
VPGATHERQD (1)    Gather Packed Dword, Packed Qword with Signed Qword Indices
VPGATHERQQ    Gather Packed Qword Values Using Signed Dword/Qword Indices
VPGATHERQQ (1)    Gather Packed Dword, Packed Qword with Signed Qword Indices
VPLZCNTD    Count the Number of Leading Zero Bits for Packed Dword, Packed Qword Values
VPLZCNTQ    Count the Number of Leading Zero Bits for Packed Dword, Packed Qword Values
VPMADD52HUQ    Packed Multiply of Unsigned 52-Bit Unsigned Integers and Add High 52-BitProducts to 64-Bit Accumulators
VPMADD52LUQ    Packed Multiply of Unsigned 52-Bit Integers and Add the Low 52-Bit Productsto Qword Accumulators
VPMASKMOV    Conditional SIMD Integer Packed Loads and Stores
VPMOVB2M    Convert a Vector Register to a Mask
VPMOVD2M    Convert a Vector Register to a Mask
VPMOVDB    Down Convert DWord to Byte
VPMOVDW    Down Convert DWord to Word
VPMOVM2B    Convert a Mask Register to a VectorRegister
VPMOVM2D    Convert a Mask Register to a VectorRegister
VPMOVM2Q    Convert a Mask Register to a VectorRegister
VPMOVM2W    Convert a Mask Register to a VectorRegister
VPMOVQ2M    Convert a Vector Register to a Mask
VPMOVQB    Down Convert QWord to Byte
VPMOVQD    Down Convert QWord to DWord
VPMOVQW    Down Convert QWord to Word
VPMOVSDB    Down Convert DWord to Byte
VPMOVSDW    Down Convert DWord to Word
VPMOVSQB    Down Convert QWord to Byte
VPMOVSQD    Down Convert QWord to DWord
VPMOVSQW    Down Convert QWord to Word
VPMOVSWB    Down Convert Word to Byte
VPMOVUSDB    Down Convert DWord to Byte
VPMOVUSDW    Down Convert DWord to Word
VPMOVUSQB    Down Convert QWord to Byte
VPMOVUSQD    Down Convert QWord to DWord
VPMOVUSQW    Down Convert QWord to Word
VPMOVUSWB    Down Convert Word to Byte
VPMOVW2M    Convert a Vector Register to a Mask
VPMOVWB    Down Convert Word to Byte
VPMULTISHIFTQB    Select Packed Unaligned Bytes From Quadword Sources
VPOPCNT    Return the Count of Number of Bits Set to 1 in BYTE/WORD/DWORD/QWORD
VPROLD    Bit Rotate Left
VPROLQ    Bit Rotate Left
VPROLVD    Bit Rotate Left
VPROLVQ    Bit Rotate Left
VPRORD    Bit Rotate Right
VPRORQ    Bit Rotate Right
VPRORVD    Bit Rotate Right
VPRORVQ    Bit Rotate Right
VPSCATTERDD    Scatter Packed Dword, PackedQword with Signed Dword, Signed Qword Indices
VPSCATTERDQ    Scatter Packed Dword, PackedQword with Signed Dword, Signed Qword Indices
VPSCATTERQD    Scatter Packed Dword, PackedQword with Signed Dword, Signed Qword Indices
VPSCATTERQQ    Scatter Packed Dword, PackedQword with Signed Dword, Signed Qword Indices
VPSHLD    Concatenate and Shift Packed Data Left Logical
VPSHLDV    Concatenate and Variable Shift Packed Data Left Logical
VPSHRD    Concatenate and Shift Packed Data Right Logical
VPSHRDV    Concatenate and Variable Shift Packed Data Right Logical
VPSHUFBITQMB    Shuffle Bits From Quadword Elements Using Byte Indexes Into Mask
VPSLLVD    Variable Bit Shift Left Logical
VPSLLVQ    Variable Bit Shift Left Logical
VPSLLVW    Variable Bit Shift Left Logical
VPSRAVD    Variable Bit Shift Right Arithmetic
VPSRAVQ    Variable Bit Shift Right Arithmetic
VPSRAVW    Variable Bit Shift Right Arithmetic
VPSRLVD    Variable Bit Shift Right Logical
VPSRLVQ    Variable Bit Shift Right Logical
VPSRLVW    Variable Bit Shift Right Logical
VPTERNLOGD    Bitwise Ternary Logic
VPTERNLOGQ    Bitwise Ternary Logic
VPTESTMB    Logical AND and Set Mask
VPTESTMD    Logical AND and Set Mask
VPTESTMQ    Logical AND and Set Mask
VPTESTMW    Logical AND and Set Mask
VPTESTNMB    Logical NAND and Set
VPTESTNMD    Logical NAND and Set
VPTESTNMQ    Logical NAND and Set
VPTESTNMW    Logical NAND and Set
VRANGEPD    Range Restriction Calculation for Packed Pairs of Float64 Values
VRANGEPS    Range Restriction Calculation for Packed Pairs of Float32 Values
VRANGESD    Range Restriction Calculation From a Pair of Scalar Float64 Values
VRANGESS    Range Restriction Calculation From a Pair of Scalar Float32 Values
VRCP14PD    Compute Approximate Reciprocals of Packed Float64 Values
VRCP14PS    Compute Approximate Reciprocals of Packed Float32 Values
VRCP14SD    Compute Approximate Reciprocal of Scalar Float64 Value
VRCP14SS    Compute Approximate Reciprocal of Scalar Float32 Value
VRCPPH    Compute Reciprocals of Packed FP16 Values
VRCPSH    Compute Reciprocal of Scalar FP16 Value
VREDUCEPD    Perform Reduction Transformation on Packed Float64 Values
VREDUCEPH    Perform Reduction Transformation on Packed FP16 Values
VREDUCEPS    Perform Reduction Transformation on Packed Float32 Values
VREDUCESD    Perform a Reduction Transformation on a Scalar Float64 Value
VREDUCESH    Perform Reduction Transformation on Scalar FP16 Value
VREDUCESS    Perform a Reduction Transformation on a Scalar Float32 Value
VRNDSCALEPD    Round Packed Float64 Values to Include a Given Number of Fraction Bits
VRNDSCALEPH    Round Packed FP16 Values to Include a Given Number of Fraction Bits
VRNDSCALEPS    Round Packed Float32 Values to Include a Given Number of Fraction Bits
VRNDSCALESD    Round Scalar Float64 Value to Include a Given Number of Fraction Bits
VRNDSCALESH    Round Scalar FP16 Value to Include a Given Number of Fraction Bits
VRNDSCALESS    Round Scalar Float32 Value to Include a Given Number of Fraction Bits
